Source,Target,Weight,Relationship_Type
Aemon,Grenn,5,Brotherhood
Aemon,Samwell,31,Brotherhood
Aerys,Jaime,18,Interaction
Aerys,Robert,6,Interaction
Aerys,Tyrion,5,Interaction
Aerys,Tywin,8,Interaction
Alliser,Mance,5,Interaction
Amory,Oberyn,5,Interaction
Arya,Anguy,11,Interaction
Arya,Beric,23,Interaction
Arya,Bran,9,Family
Arya,Brynden,6,Interaction
Arya,Cersei,5,Enemy
Arya,Gendry,43,Alliance
Arya,Gregor,7,Interaction
Arya,Jaime,11,Enemy
Arya,Joffrey,6,Enemy
Arya,Jon,7,Family
Arya,Rickon,8,Family
Arya,Robert,4,Alliance
Arya,Roose,5,Interaction
Arya,Sandor,46,Interaction
Arya,Thoros,18,Interaction
Arya,Tyrion,5,Enemy
Balon,Loras,4,Alliance
Belwas,Barristan,18,Interaction
Belwas,Illyrio,10,Interaction
Beric,Anguy,4,Interaction
Beric,Gendry,4,Interaction
Beric,Thoros,21,Interaction
Bran,Hodor,96,Interaction
Bran,Jojen,46,Interaction
Bran,Jon,12,Family
Bran,Luwin,4,Interaction
Bran,Meera,54,Friendship
Bran,Nan,14,Interaction
Bran,Rickon,35,Family
Bran,Samwell,11,Interaction
Bran,Theon,11,Interaction
Brienne,Loras,7,Alliance
Bronn,Gregor,5,Interaction
Bronn,Podrick,19,Interaction
Brynden,Lothar,4,Interaction
Brynden,Walder,5,Interaction
Catelyn,Bran,4,Family
Catelyn,Brienne,7,Interaction
Catelyn,Brynden,8,Interaction
Catelyn,Cersei,4,Enemy
Catelyn,Edmure,16,Interaction
Catelyn,Hoster,9,Interaction
Catelyn,Jaime,19,Enemy
Catelyn,Jeyne,10,Interaction
Catelyn,Lysa,8,Interaction
Catelyn,Petyr,5,Interaction
Catelyn,Robb,43,Family
Catelyn,Roose,4,Interaction
Catelyn,Roslin,6,Interaction
Catelyn,Sansa,8,Family
Catelyn,Stannis,4,Alliance
Catelyn,Tyrion,5,Enemy
Catelyn,Walder,19,Interaction
Cersei,Brienne,5,Interaction
Cersei,Bronn,4,Interaction
Cersei,Elia,4,Interaction
Cersei,Gregor,6,Interaction
Cersei,Ilyn,7,Interaction
Cersei,Jaime,36,Family
Cersei,Joffrey,23,Family
Cersei,Meryn,10,Interaction
Cersei,Pycelle,4,Interaction
Cersei,Robert,16,Interaction
Cersei,Sandor,6,Interaction
Cersei,Shae,4,Interaction
Cersei,Tyrion,46,Family (Hostile)
Cersei,Varys,4,Interaction
Craster,Karl,6,Interaction
Daario,Drogo,4,Interaction
Daario,Irri,5,Interaction
Daenerys,Aegon,8,Interaction
Daenerys,Barristan,20,Interaction
Daenerys,Belwas,26,Interaction
Daenerys,Daario,14,Interaction
Daenerys,Drogo,18,Interaction
Daenerys,Irri,17,Interaction
Daenerys,Jorah,47,Interaction
Daenerys,Kraznys,10,Interaction
Daenerys,Missandei,26,Interaction
Daenerys,Rakharo,7,Interaction
Daenerys,Rhaegar,12,Interaction
Daenerys,Robert,5,Interaction
Daenerys,Viserys,8,Family (Complicated)
Daenerys,Worm,14,Interaction
Davos,Cressen,4,Interaction
Davos,Salladhor,16,Interaction
Eddard,Arya,18,Interaction
Eddard,Beric,8,Interaction
Eddard,Bran,15,Interaction
Eddard,Catelyn,5,Interaction
Eddard,Cersei,6,Interaction
Eddard,Jaime,6,Interaction
Eddard,Jon,8,Interaction
Eddard,Rickon,8,Interaction
Eddard,Robb,13,Interaction
Eddard,Robert,10,Interaction
Eddard,Sandor,5,Interaction
Eddard,Sansa,6,Interaction
Eddison,Grenn,8,Interaction
Edmure,Brynden,7,Interaction
Edmure,Lothar,4,Interaction
Edmure,Roslin,16,Interaction
Edmure,Walder,9,Interaction
Gendry,Thoros,7,Interaction
Gilly,Craster,17,Interaction
Gregor,Elia,9,Interaction
Gregor,Ilyn,7,Interaction
Gregor,Meryn,7,Interaction
Gregor,Oberyn,24,Interaction
Gregor,Sandor,12,Interaction
Hodor,Jojen,35,Interaction
Hodor,Meera,41,Interaction
Hoster,Edmure,9,Interaction
Irri,Drogo,7,Interaction
Jaime,Balon,6,Interaction
Jaime,Barristan,4,Interaction
Jaime,Brienne,88,Respect / Complicated
Jaime,Edmure,5,Interaction
Jaime,Elia,4,Interaction
Jaime,Gregor,6,Interaction
Jaime,Joffrey,15,Family
Jaime,Loras,16,Alliance
Jaime,Meryn,11,Interaction
Jaime,Qyburn,11,Interaction
Jaime,Renly,7,Interaction
Jaime,Robert,17,Interaction
Jaime,Stannis,5,Interaction
Jaime,Tommen,8,Interaction
Jaime,Tyrion,31,Family
Janos,Alliser,9,Interaction
Janos,Bowen,5,Interaction
Janos,Mance,4,Interaction
Joffrey,Gregor,5,Interaction
Joffrey,Ilyn,4,Interaction
Joffrey,Kevan,8,Interaction
Joffrey,Loras,7,Alliance
Joffrey,Margaery,28,Alliance
Joffrey,Meryn,5,Interaction
Joffrey,Myrcella,5,Interaction
Joffrey,Oberyn,4,Interaction
Joffrey,Sandor,14,Interaction
Joffrey,Stannis,10,Interaction
Joffrey,Tommen,9,Interaction
Joffrey,Tyrion,54,Family
Jojen,Meera,33,Interaction
Jojen,Samwell,11,Interaction
Jon,Aemon,30,Brotherhood
Jon,Alliser,15,Interaction
Jon,Craster,7,Interaction
Jon,Dalla,6,Interaction
Jon,Eddison,4,Interaction
Jon,Gilly,9,Interaction
Jon,Grenn,25,Brotherhood
Jon,Janos,8,Interaction
Jon,Mance,69,Interaction
Jon,Meera,4,Interaction
Jon,Melisandre,7,Advisor
Jon,Orell,6,Interaction
Jon,Qhorin,31,Interaction
Jon,Rattleshirt,20,Interaction
